,State,Date,Covid_Cases_Cumulative,Covid_Cases,Month,Year
0,Australian Capital Territory,2018-01-01,0,0.0,1,2018
1,Australian Capital Territory,2018-01-02,0,0.0,1,2018
2,Australian Capital Territory,2018-01-03,0,0.0,1,2018
3,Australian Capital Territory,2018-01-04,0,0.0,1,2018
4,Australian Capital Territory,2018-01-05,0,0.0,1,2018
5,Australian Capital Territory,2018-01-06,0,0.0,1,2018
6,Australian Capital Territory,2018-01-07,0,0.0,1,2018
7,Australian Capital Territory,2018-01-08,0,0.0,1,2018
8,Australian Capital Territory,2018-01-09,0,0.0,1,2018
9,Australian Capital Territory,2018-01-10,0,0.0,1,2018
10,Australian Capital Territory,2018-01-11,0,0.0,1,2018
11,Australian Capital Territory,2018-01-12,0,0.0,1,2018
12,Australian Capital Territory,2018-01-13,0,0.0,1,2018
13,Australian Capital Territory,2018-01-14,0,0.0,1,2018
14,Australian Capital Territory,2018-01-15,0,0.0,1,2018
15,Australian Capital Territory,2018-01-16,0,0.0,1,2018
16,Australian Capital Territory,2018-01-17,0,0.0,1,2018
17,Australian Capital Territory,2018-01-18,0,0.0,1,2018
18,Australian Capital Territory,2018-01-19,0,0.0,1,2018
19,Australian Capital Territory,2018-01-20,0,0.0,1,2018
20,Australian Capital Territory,2018-01-21,0,0.0,1,2018
21,Australian Capital Territory,2018-01-22,0,0.0,1,2018
22,Australian Capital Territory,2018-01-23,0,0.0,1,2018
23,Australian Capital Territory,2018-01-24,0,0.0,1,2018
24,Australian Capital Territory,2018-01-25,0,0.0,1,2018
25,Australian Capital Territory,2018-01-26,0,0.0,1,2018
26,Australian Capital Territory,2018-01-27,0,0.0,1,2018
27,Australian Capital Territory,2018-01-28,0,0.0,1,2018
28,Australian Capital Territory,2018-01-29,0,0.0,1,2018
29,Australian Capital Territory,2018-01-30,0,0.0,1,2018
30,Australian Capital Territory,2018-01-31,0,0.0,1,2018
31,Australian Capital Territory,2018-02-01,0,0.0,2,2018
32,Australian Capital Territory,2018-02-02,0,0.0,2,2018
33,Australian Capital Territory,2018-02-03,0,0.0,2,2018
34,Australian Capital Territory,2018-02-04,0,0.0,2,2018
35,Australian Capital Territory,2018-02-05,0,0.0,2,2018
36,Australian Capital Territory,2018-02-06,0,0.0,2,2018
37,Australian Capital Territory,2018-02-07,0,0.0,2,2018
38,Australian Capital Territory,2018-02-08,0,0.0,2,2018
