,State,Date,Covid_Cases_Cumulative,Covid_Cases,Month,Year
0,New South Wales,2018-01-01,0,0.0,1,2018
1,New South Wales,2018-01-02,0,0.0,1,2018
2,New South Wales,2018-01-03,0,0.0,1,2018
3,New South Wales,2018-01-04,0,0.0,1,2018
4,New South Wales,2018-01-05,0,0.0,1,2018
5,New South Wales,2018-01-06,0,0.0,1,2018
6,New South Wales,2018-01-07,0,0.0,1,2018
7,New South Wales,2018-01-08,0,0.0,1,2018
8,New South Wales,2018-01-09,0,0.0,1,2018
9,New South Wales,2018-01-10,0,0.0,1,2018
10,New South Wales,2018-01-11,0,0.0,1,2018
11,New South Wales,2018-01-12,0,0.0,1,2018
12,New South Wales,2018-01-13,0,0.0,1,2018
13,New South Wales,2018-01-14,0,0.0,1,2018
14,New South Wales,2018-01-15,0,0.0,1,2018
15,New South Wales,2018-01-16,0,0.0,1,2018
16,New South Wales,2018-01-17,0,0.0,1,2018
17,New South Wales,2018-01-18,0,0.0,1,2018
18,New South Wales,2018-01-19,0,0.0,1,2018
19,New South Wales,2018-01-20,0,0.0,1,2018
20,New South Wales,2018-01-21,0,0.0,1,2018
21,New South Wales,2018-01-22,0,0.0,1,2018
22,New South Wales,2018-01-23,0,0.0,1,2018
23,New South Wales,2018-01-24,0,0.0,1,2018
24,New South Wales,2018-01-25,0,0.0,1,2018
25,New South Wales,2018-01-26,0,0.0,1,2018
26,New South Wales,2018-01-27,0,0.0,1,2018
27,New South Wales,2018-01-28,0,0.0,1,2018
28,New South Wales,2018-01-29,0,0.0,1,2018
29,New South Wales,2018-01-30,0,0.0,1,2018
30,New South Wales,2018-01-31,0,0.0,1,2018
31,New South Wales,2018-02-01,0,0.0,2,2018
32,New South Wales,2018-02-02,0,0.0,2,2018
33,New South Wales,2018-02-03,0,0.0,2,2018
34,New South Wales,2018-02-04,0,0.0,2,2018
35,New South Wales,2018-02-05,0,0.0,2,2018
36,New South Wales,2018-02-06,0,0.0,2,2018
37,New South Wales,2018-02-07,0,0.0,2,2018
38,New South Wales,2018-02-08,0,0.0,2,2018
39,New South Wales,2018-02-09,0,0.0,2,2018
40,New South Wales,2018-02-10,0,0.0,2,2018
41,New South Wales,2018-02-11,0,0.0,2,2018
42,New South Wales,2018-02-12,0,0.0,2,2018
43,New South Wales,2018-02-13,0,0.0,2,2018
44,New South Wales,2018-02-14,0,0.0,2,2018
45,New South Wales,2018-02-15,0,0.0,2,2018
46,New South Wales,2018-02-16,0,0.0,2,2018
47,New South Wales,2018-02-17,0,0.0,2,2018
48,New South Wales,2018-02-18,0,0.0,2,2018
49,New South Wales,2018-02-19,0,0.0,2,2018
