,State,Date,Covid_Cases_Cumulative,Covid_Cases,Month,Year
0,South Australia,2018-01-01,0,0.0,1,2018
1,South Australia,2018-01-02,0,0.0,1,2018
2,South Australia,2018-01-03,0,0.0,1,2018
3,South Australia,2018-01-04,0,0.0,1,2018
4,South Australia,2018-01-05,0,0.0,1,2018
5,South Australia,2018-01-06,0,0.0,1,2018
6,South Australia,2018-01-07,0,0.0,1,2018
7,South Australia,2018-01-08,0,0.0,1,2018
8,South Australia,2018-01-09,0,0.0,1,2018
9,South Australia,2018-01-10,0,0.0,1,2018
10,South Australia,2018-01-11,0,0.0,1,2018
11,South Australia,2018-01-12,0,0.0,1,2018
12,South Australia,2018-01-13,0,0.0,1,2018
13,South Australia,2018-01-14,0,0.0,1,2018
14,South Australia,2018-01-15,0,0.0,1,2018
15,South Australia,2018-01-16,0,0.0,1,2018
16,South Australia,2018-01-17,0,0.0,1,2018
17,South Australia,2018-01-18,0,0.0,1,2018
18,South Australia,2018-01-19,0,0.0,1,2018
19,South Australia,2018-01-20,0,0.0,1,2018
20,South Australia,2018-01-21,0,0.0,1,2018
21,South Australia,2018-01-22,0,0.0,1,2018
22,South Australia,2018-01-23,0,0.0,1,2018
23,South Australia,2018-01-24,0,0.0,1,2018
24,South Australia,2018-01-25,0,0.0,1,2018
25,South Australia,2018-01-26,0,0.0,1,2018
26,South Australia,2018-01-27,0,0.0,1,2018
27,South Australia,2018-01-28,0,0.0,1,2018
28,South Australia,2018-01-29,0,0.0,1,2018
29,South Australia,2018-01-30,0,0.0,1,2018
30,South Australia,2018-01-31,0,0.0,1,2018
31,South Australia,2018-02-01,0,0.0,2,2018
32,South Australia,2018-02-02,0,0.0,2,2018
33,South Australia,2018-02-03,0,0.0,2,2018
34,South Australia,2018-02-04,0,0.0,2,2018
35,South Australia,2018-02-05,0,0.0,2,2018
36,South Australia,2018-02-06,0,0.0,2,2018
37,South Australia,2018-02-07,0,0.0,2,2018
38,South Australia,2018-02-08,0,0.0,2,2018
39,South Australia,2018-02-09,0,0.0,2,2018
40,South Australia,2018-02-10,0,0.0,2,2018
41,South Australia,2018-02-11,0,0.0,2,2018
42,South Australia,2018-02-12,0,0.0,2,2018
43,South Australia,2018-02-13,0,0.0,2,2018
44,South Australia,2018-02-14,0,0.0,2,2018
45,South Australia,2018-02-15,0,0.0,2,2018
46,South Australia,2018-02-16,0,0.0,2,2018
47,South Australia,2018-02-17,0,0.0,2,2018
