,State,Date,Covid_Cases_Cumulative,Covid_Cases,Month,Year
0,Western Australia,2018-01-01,0,0.0,1,2018
1,Western Australia,2018-01-02,0,0.0,1,2018
2,Western Australia,2018-01-03,0,0.0,1,2018
3,Western Australia,2018-01-04,0,0.0,1,2018
4,Western Australia,2018-01-05,0,0.0,1,2018
5,Western Australia,2018-01-06,0,0.0,1,2018
6,Western Australia,2018-01-07,0,0.0,1,2018
7,Western Australia,2018-01-08,0,0.0,1,2018
8,Western Australia,2018-01-09,0,0.0,1,2018
9,Western Australia,2018-01-10,0,0.0,1,2018
10,Western Australia,2018-01-11,0,0.0,1,2018
11,Western Australia,2018-01-12,0,0.0,1,2018
12,Western Australia,2018-01-13,0,0.0,1,2018
13,Western Australia,2018-01-14,0,0.0,1,2018
14,Western Australia,2018-01-15,0,0.0,1,2018
15,Western Australia,2018-01-16,0,0.0,1,2018
16,Western Australia,2018-01-17,0,0.0,1,2018
17,Western Australia,2018-01-18,0,0.0,1,2018
18,Western Australia,2018-01-19,0,0.0,1,2018
19,Western Australia,2018-01-20,0,0.0,1,2018
20,Western Australia,2018-01-21,0,0.0,1,2018
21,Western Australia,2018-01-22,0,0.0,1,2018
22,Western Australia,2018-01-23,0,0.0,1,2018
23,Western Australia,2018-01-24,0,0.0,1,2018
24,Western Australia,2018-01-25,0,0.0,1,2018
25,Western Australia,2018-01-26,0,0.0,1,2018
26,Western Australia,2018-01-27,0,0.0,1,2018
27,Western Australia,2018-01-28,0,0.0,1,2018
28,Western Australia,2018-01-29,0,0.0,1,2018
29,Western Australia,2018-01-30,0,0.0,1,2018
30,Western Australia,2018-01-31,0,0.0,1,2018
31,Western Australia,2018-02-01,0,0.0,2,2018
32,Western Australia,2018-02-02,0,0.0,2,2018
33,Western Australia,2018-02-03,0,0.0,2,2018
34,Western Australia,2018-02-04,0,0.0,2,2018
35,Western Australia,2018-02-05,0,0.0,2,2018
36,Western Australia,2018-02-06,0,0.0,2,2018
37,Western Australia,2018-02-07,0,0.0,2,2018
38,Western Australia,2018-02-08,0,0.0,2,2018
39,Western Australia,2018-02-09,0,0.0,2,2018
40,Western Australia,2018-02-10,0,0.0,2,2018
41,Western Australia,2018-02-11,0,0.0,2,2018
42,Western Australia,2018-02-12,0,0.0,2,2018
43,Western Australia,2018-02-13,0,0.0,2,2018
44,Western Australia,2018-02-14,0,0.0,2,2018
45,Western Australia,2018-02-15,0,0.0,2,2018
