,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,AU,Year,Quarter
0,0,0,0,0,0,0,0,0,0,2018,Q1_2018
1,0,0,0,0,0,0,0,0,0,2018,Q2_2018
2,0,0,0,0,0,0,0,0,0,2018,Q3_2018
3,0,0,0,0,0,0,0,0,0,2018,Q4_2018
4,0,0,0,0,0,0,0,0,0,2019,Q1_2019
5,0,0,0,0,0,0,0,0,0,2019,Q2_2019
6,0,0,0,0,0,0,0,0,0,2019,Q3_2019
7,0,0,0,0,0,0,0,0,0,2019,Q4_2019
8,80,2032,17,743,337,69,917,364,4559,2020,Q1_2020
9,28,1171,12,324,106,159,1314,247,3361,2020,Q2_2020
10,5,1024,4,90,25,2,17952,74,19176,2020,Q3_2020
11,5,701,42,96,112,4,193,176,1329,2020,Q4_2020
12,5,368,33,224,76,0,108,83,897,2021,Q1_2021
13,0,106,28,43,37,0,20,38,272,2021,Q2_2021
