,NSW,VIC,QLD,SA,WA,TAS,NT,ACT,AU,Month
0,863050,556050,385950,59170,238110,4180,17670,5520,2129950,1_2018
1,712280,472760,305220,41800,178580,4950,11180,3900,1730770,2_2018
2,689210,449300,317890,38530,175160,200,9960,4240,1684620,3_2018
3,668550,454770,317150,36650,174350,10,13090,5180,1669910,4_2018
4,602770,387800,281320,35660,160380,0,10310,3100,1481410,5_2018
5,588330,413260,293630,36300,165280,0,14190,3600,1514670,6_2018
6,798090,542820,382170,49340,218180,0,14670,4510,2010030,7_2018
7,669370,466750,341540,43810,182480,0,12520,3720,1720360,8_2018
8,669000,474160,327990,46530,186840,0,15170,3940,1724040,9_2018
9,794740,530480,364510,50200,211300,10,12600,4090,1968070,10_2018
10,672870,466880,293330,41910,172370,5400,13710,3210,1669820,11_2018
11,752090,500060,344080,45310,192920,4260,13770,2590,1855280,12_2018
12,898340,599560,403650,58880,234840,3290,15450,3550,2217820,1_2019
13,724390,512350,309450,45670,182960,3260,12140,3030,1793390,2_2019
14,663460,470920,304410,39840,167440,5160,9960,2740,1663990,3_2019
15,678560,474700,321840,41610,177370,3440,13970,2930,1714550,4_2019
16,642050,436940,292120,39090,163220,0,13330,3130,1589960,5_2019
17,609700,431390,299070,41290,164790,0,13130,3620,1563090,6_2019
18,772040,557180,393650,56280,211560,0,17990,4310,2013180,7_2019
19,688480,491690,345460,51170,188580,0,16160,3410,1785080,8_2019
20,675210,480220,328740,54000,189490,0,17700,3670,1749270,9_2019
21,786030,531130,372300,56670,214380,0,18280,3940,1982920,10_2019
22,675600,480850,313600,44560,188580,2910,15300,2990,1724520,11_2019
23,735880,521000,357500,49900,201930,7360,16150,2560,1892440,12_2019
24,884880,611550,415910,64880,251320,8870,18570,2770,2258940,1_2020
25,608110,433770,287170,41630,181960,4000,12140,2470,1571490,2_2020
26,350800,260710,173850,25230,102820,2440,6630,1500,923980,3_2020
27,8020,7280,3370,700,1990,0,250,0,21620,4_2020
28,9750,5920,2150,0,1170,0,210,210,19400,5_2020
29,11670,6360,4500,290,1760,0,890,300,25770,6_2020
30,11220,30,2970,380,2900,0,780,10,18280,7_2020
31,9660,70,2050,1120,2150,0,390,0,15440,8_2020
32,10090,20,2430,1260,2170,0,750,0,16720,9_2020
33,13720,20,4140,1810,3630,110,1270,10,24710,10_2020
34,16440,550,5780,1090,4490,40,1240,150,29770,11_2020
35,16410,5330,6200,1410,4580,140,1030,0,35120,12_2020
36,11420,7070,5840,2240,3400,70,1660,0,31690,1_2021
37,10590,3230,5610,2050,2360,90,1730,170,25830,2_2021
38,14960,1870,7400,2240,3920,30,2340,150,32900,3_2021
