,NSW,VIC,QLD,SA,WA,TAS,NT,AU,Quarter
0,61.0,18.4,56.8,14.1,261.0,4.7,22.5,438.49999999999994,Q1_2018
1,68.5,24.5,70.3,19.7,349.8,6.7,28.3,567.8,Q2_2018
2,56.7,22.4,86.1,20.4,361.0,5.3,32.5,584.4,Q3_2018
3,61.2,28.3,90.3,21.9,346.3,4.8,39.9,592.6999999999999,Q4_2018
4,61.8,24.4,51.7,16.5,319.5,3.7,27.0,504.59999999999997,Q1_2019
5,72.6,27.2,85.3,26.6,415.1,5.6,32.5,664.9,Q2_2019
6,72.5,26.5,107.6,18.6,459.7,3.4,36.4,724.6999999999999,Q3_2019
7,89.5,34.7,109.4,25.4,453.9,3.3,36.8,752.9999999999999,Q4_2019
8,77.2,35.6,81.2,21.7,367.1,2.3,25.4,610.4999999999999,Q1_2020
9,80.0,39.7,105.2,19.6,412.4,2.0,24.4,683.3,Q2_2020
10,62.9,34.6,115.0,17.5,483.3,3.3,28.2,744.8,Q3_2020
11,67.7,42.6,106.0,21.4,480.3,3.2,32.8,754.0,Q4_2020
