date,confirmed,confirmed_cum,deaths,deaths_cum,tests,tests_cum,positives,positives_cum,recovered,recovered_cum,hosp,hosp_cum,icu,icu_cum,vent,vent_cum,vaccines,vaccines_cum
1/25/2020,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/26/2020,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/27/2020,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/28/2020,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/29/2020,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/30/2020,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/31/2020,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/1/2020,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/2/2020,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/3/2020,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/4/2020,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/5/2020,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/6/2020,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/7/2020,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/8/2020,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/9/2020,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/10/2020,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/11/2020,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/12/2020,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/13/2020,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/14/2020,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/15/2020,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/16/2020,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/17/2020,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/18/2020,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/19/2020,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/20/2020,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/21/2020,4,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/22/2020,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/23/2020,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/24/2020,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/25/2020,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/26/2020,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/27/2020,3,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/28/2020,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/29/2020,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/1/2020,3,28,1,1,0,0,0,28,0,0,0,0,0,0,0,0,0,0
3/2/2020,4,32,0,1,0,0,4,32,0,0,0,0,0,0,0,0,0,0
3/3/2020,8,40,0,1,0,0,8,40,0,0,0,0,0,0,0,0,0,0
3/4/2020,11,51,1,2,0,0,11,51,0,0,0,0,0,0,0,0,0,0
3/5/2020,8,59,0,2,0,0,8,59,0,0,0,0,0,0,0,0,0,0
3/6/2020,4,63,0,2,0,0,4,63,0,0,0,0,0,0,0,0,0,0
3/7/2020,10,73,0,2,7214,7214,10,73,0,0,0,0,0,0,0,0,0,0
3/8/2020,7,80,1,3,794,8008,7,80,0,0,0,0,0,0,0,0,0,0
3/9/2020,12,92,0,3,363,8371,12,92,0,0,0,0,0,0,0,0,0,0
3/10/2020,20,112,0,3,1794,10165,20,112,0,0,0,0,0,0,0,0,0,0
3/11/2020,15,127,0,3,56,10221,15,127,0,0,0,0,0,0,0,0,0,0
3/12/2020,30,157,0,3,4635,14856,30,157,0,0,0,0,0,0,0,0,0,0
3/13/2020,41,198,1,4,1829,16685,41,198,0,0,0,0,0,0,0,0,0,0
3/14/2020,51,249,0,4,3811,20496,51,249,0,0,0,0,0,0,0,0,0,0
3/15/2020,48,297,2,6,2071,22567,48,297,0,0,0,0,0,0,0,0,0,0
3/16/2020,79,376,0,6,16097,38664,79,376,0,0,0,0,0,0,0,0,0,0
3/17/2020,78,454,0,6,5780,44444,78,454,0,0,0,0,0,0,0,0,0,0
3/18/2020,113,567,1,7,6556,51000,113,567,0,0,0,0,0,0,0,0,0,0
3/19/2020,142,709,0,7,32333,83333,142,709,28,28,0,0,0,0,0,0,0,0
3/20/2020,138,847,1,8,8066,91399,138,847,11,39,0,0,0,0,0,0,0,0
