"Seasonally adjusted percentage change"
"Month","Monthly (%)","Through the year (%)"
"Mar-2019","0.2","3.4"
"Apr-2019","0.0","2.8"
"May-2019","0.2","2.5"
"Jun-2019","0.2","2.5"
"Jul-2019","0.1","2.4"
"Aug-2019","0.4","2.5"
"Sep-2019","0.2","2.5"
"Oct-2019","0.2","2.3"
"Nov-2019","0.9","3.3"
"Dec-2019","-0.5","2.6"
"Jan-2020","-0.5","1.9"
"Feb-2020","0.6","1.9"
"Mar-2020","8.1","10.0"
"Apr-2020","-17.4","-9.1"
"May-2020","16.6","5.8"
"Jun-2020","2.7","8.4"
"Jul-2020","3.4","12.0"
"Aug-2020","-4.1","7.0"
"Sep-2020","-1.1","5.7"
"Oct-2020","1.5","7.1"
"Nov-2020","6.7","13.2"
"Dec-2020","-3.5","9.7"
"Jan-2021","0.3","10.6"
"Feb-2021","-0.8","9.1"
"Mar-2021","1.4","2.3"

"Source: Australian Bureau of Statistics, Retail Trade, Australia, Preliminary March 2021"
