,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,AU,Month
0,0,0,0,0,0,0,0,0,0,01_2018
1,0,0,0,0,0,0,0,0,0,02_2018
2,0,0,0,0,0,0,0,0,0,03_2018
3,0,0,0,0,0,0,0,0,0,04_2018
4,0,0,0,0,0,0,0,0,0,05_2018
5,0,0,0,0,0,0,0,0,0,06_2018
6,0,0,0,0,0,0,0,0,0,07_2018
7,0,0,0,0,0,0,0,0,0,08_2018
8,0,0,0,0,0,0,0,0,0,09_2018
9,0,0,0,0,0,0,0,0,0,10_2018
10,0,0,0,0,0,0,0,0,0,11_2018
11,0,0,0,0,0,0,0,0,0,12_2018
12,0,0,0,0,0,0,0,0,0,01_2019
13,0,0,0,0,0,0,0,0,0,02_2019
14,0,0,0,0,0,0,0,0,0,03_2019
15,0,0,0,0,0,0,0,0,0,04_2019
16,0,0,0,0,0,0,0,0,0,05_2019
17,0,0,0,0,0,0,0,0,0,06_2019
18,0,0,0,0,0,0,0,0,0,07_2019
19,0,0,0,0,0,0,0,0,0,08_2019
20,0,0,0,0,0,0,0,0,0,09_2019
21,0,0,0,0,0,0,0,0,0,10_2019
22,0,0,0,0,0,0,0,0,0,11_2019
23,0,0,0,0,0,0,0,0,0,12_2019
24,0,4,0,2,0,0,3,0,9,01_2020
25,0,0,0,7,3,0,4,2,16,02_2020
26,80,2028,17,734,334,69,910,362,4534,03_2020
27,26,993,11,290,101,152,447,187,2207,04_2020
28,1,73,1,25,2,7,289,38,436,05_2020
29,1,105,0,9,3,0,578,22,718,06_2020
30,5,570,4,17,8,1,8700,55,9360,07_2020
31,0,290,0,40,12,1,8207,-11,8539,08_2020
32,0,164,0,33,5,0,1045,30,1277,09_2020
33,1,198,5,15,33,0,163,84,499,10_2020
34,3,157,15,30,61,0,-1,52,317,11_2020
35,1,346,22,51,18,4,31,40,513,12_2020
36,0,182,23,57,16,0,73,42,393,01_2021
37,0,70,7,21,20,0,32,10,160,02_2021
38,5,116,3,146,40,0,3,31,344,03_2021
39,0,106,28,43,37,0,20,38,272,04_2021
