Legend,Total Employed,Total Unemployed,Month,Covid_Cases
"('Q1', '2018')",37328085.39,2363529.6500000004,6,0.0
"('Q1', '2019')",38190482.48,2186478.65,6,0.0
"('Q1', '2020')",38889199.11,2301815.0300000003,6,7025.0
"('Q1', '2021')",38886098.29,2645261.09,6,1188.0
"('Q2', '2018')",37706968.400000006,2130646.3200000003,15,0.0
"('Q2', '2019')",38642412.010000005,2100233.44,15,0.0
"('Q2', '2020')",36994383.379999995,2721696.05,15,4157.0
"('Q3', '2018')",37738392.76,2036629.81,24,0.0
"('Q3', '2019')",38671459.57,2108791.74,24,0.0
"('Q3', '2020')",37612491.36,2825999.08,24,20125.0
"('Q4', '2018')",38235326.559999995,1917701.8599999999,33,0.0
"('Q4', '2019')",38993253.88,2006577.49,33,0.0
"('Q4', '2020')",38639260.5,2655943.56,33,2025.0
